,City,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Tiksi,92,1539303171,94,71.64,128.87,27.67,3.51
1,Hobart,75,1539302400,62,-42.88,147.33,55.4,5.82
2,Mataura,92,1539303164,67,-46.19,168.86,44.23,20.29
3,New Norfolk,75,1539302400,62,-42.78,147.06,55.4,5.82
4,Butaritari,68,1539303407,100,3.07,172.79,82.75,9.78
5,Thompson,20,1539302400,50,55.74,-97.86,28.4,4.52
6,Lumberton,1,1539302100,57,30.27,-94.2,73.94,3.36
7,Kinango,88,1539303411,100,-4.13,39.32,74.42,10.45
8,Rikitea,92,1539303412,100,-23.12,-134.97,71.14,10.56
9,Saskylakh,80,1539303414,93,71.97,114.09,25.78,4.07
10,Hermanus,64,1539303183,88,-34.42,19.24,53.95,4.63
11,Pevek,0,1539303417,100,69.7,170.27,32.98,5.97
12,Albany,90,1539302040,80,42.65,-73.75,69.08,4.7
13,Grand-Lahou,88,1539303419,93,5.24,-5.0,76.09,5.41
14,Ushuaia,40,1539302400,45,-54.81,-68.31,48.2,12.75
15,Yulara,40,1539298800,77,-25.24,130.99,68.0,9.17
16,Port Blair,44,1539303423,100,11.67,92.75,82.88,12.01
17,Busselton,92,1539303425,100,-33.64,115.35,61.96,11.45
18,Kavieng,32,1539303233,95,-2.57,150.8,86.89,10.22
19,Chuy,100,1539303427,100,-33.69,-53.46,49.67,10.78
20,Sajanan,0,1539298800,82,37.06,9.24,66.2,6.98
21,Kudahuvadhoo,44,1539303430,100,2.67,72.89,81.62,6.53
22,La Ronge,20,1539298800,52,55.1,-105.3,41.0,6.93
23,Walvis Bay,24,1539298800,87,-22.95,14.51,53.6,3.36
24,Emilio Carranza,24,1539303434,96,19.97,-96.61,76.72,2.39
25,Norman Wells,75,1539302400,94,65.28,-126.83,32.0,3.18
26,Lodja,80,1539303436,99,-3.52,23.6,68.03,1.61
27,Honiara,20,1539302400,62,-9.43,159.96,89.6,13.87
28,Nsanje,8,1539303438,80,-16.92,35.26,69.61,2.62
29,Punta Arenas,90,1539298800,65,-53.16,-70.91,46.4,32.21
30,Castro,0,1539303203,86,-42.48,-73.76,44.0,6.42
31,Port Elizabeth,90,1539302100,100,39.31,-74.98,77.0,4.7
32,Adrar,0,1539298800,36,27.87,-0.29,77.0,8.05
33,Ilulissat,0,1539301800,56,69.22,-51.1,14.0,1.12
34,Narsaq,20,1539301800,50,60.91,-46.05,28.4,9.17
35,East London,24,1539303447,100,-33.02,27.91,66.68,22.75
36,Oktyabrskiy,0,1539300600,86,55.61,37.97,37.4,2.24
37,Havre-Saint-Pierre,90,1539298800,69,50.23,-63.6,33.8,3.36
38,Saint Anthony,75,1539298560,9,43.97,-111.68,48.92,4.7
39,Barrow,92,1539303453,43,-38.31,-60.23,53.86,7.65
40,Gao,0,1539303455,40,16.28,-0.04,77.3,3.18
41,Navahrudak,0,1539303456,93,53.59,25.82,47.11,9.22
42,Georgetown,20,1539298800,94,6.8,-58.16,80.6,6.93
43,Avarua,75,1539302400,69,-21.21,-159.78,77.0,17.22
44,Broken Hill,0,1539303460,66,-31.97,141.45,68.03,11.79
